order_item_id,order_id,product_id,quantity,price_per_unit
1,11716,428,3,2995.71
2,16992,101,3,3914.56
3,12362,700,3,4952.89
4,10976,244,2,4103.51
5,20575,93,1,1024.89
6,25912,3,3,682.52
7,23900,746,1,2924.63
8,21181,13,2,4444.12
9,22619,494,3,2450.52
10,9103,275,1,1386.05
11,11056,727,2,1993.46
12,17194,397,3,1163.99
13,26356,751,2,3664.29
14,25174,395,2,3734.13
15,25125,433,3,3246.49
16,7671,413,1,2397.82
17,18286,232,2,4576.43
18,24432,525,2,1239.4
19,19711,193,3,2836.54
20,5200,373,2,413.51
21,21621,156,2,763.25
22,17418,480,1,1404.16
23,22371,502,1,2285.74
24,23142,511,1,1015.9
25,20302,510,3,1731.12
26,10809,554,2,3168.81
27,22097,78,3,4228.05
28,10622,47,3,1137.14
29,22444,454,2,2219.44
30,9523,157,2,4100.21
31,17328,710,3,4473.02
32,21325,611,2,2263.29
33,9120,331,2,2918.34
34,13719,1,3,4366.61
35,12257,388,3,1041.2
36,17450,672,3,1329.16
37,15881,581,2,3800.34
38,21034,320,1,383.49
39,6095,203,1,4821.57
40,17972,124,3,190.36
41,24244,682,1,3976.86
42,24112,84,2,1994.87
43,19720,541,2,4525.22
44,6351,118,2,1973.62
45,22917,294,2,1215.96
46,6529,135,2,4992.26
47,11831,363,1,706.25
48,21617,192,1,4498.74
49,13352,741,2,992.71
50,24520,712,1,2755.17
51,13027,753,3,2627.61
52,18474,359,1,4089.26
53,8950,111,2,3908.48
54,13073,604,3,4335.82
55,9105,463,1,3860.62
56,22124,587,1,3785.32
57,6527,671,3,3961.1
58,14087,606,2,3862.44
59,6001,494,1,2450.52
60,13013,589,2,4903.99
61,8190,391,2,1713.14
62,18437,445,3,3228.54
63,13792,211,2,814.19
64,14258,473,3,4441.71
65,14293,141,2,4605.35
66,22474,735,3,785.12
67,16551,418,2,1257.42
68,10493,441,2,3506.17
69,16023,647,3,2439.8
70,6379,278,1,3855.05
71,25288,471,2,3965.43
72,7962,263,1,4839.31
73,21686,383,1,4218.33
74,15223,465,3,2966.08
75,23419,59,3,257.14
76,11877,160,1,2572.25
77,8053,679,3,561.06
78,16740,204,2,2839.64
79,16644,218,2,2656.06
80,21437,106,2,3171.17
81,26371,519,3,1649.38
82,16673,470,3,4904.88
83,12630,671,2,3961.1
84,10128,519,3,1649.38
85,10406,502,2,2285.74
86,23261,577,1,2854.12
87,17393,331,2,2918.34
88,19472,643,3,1099.8
89,17210,374,2,2620.58
90,12901,205,3,4179.47
91,17337,343,1,4047.94
92,15812,351,3,3083.91
93,19021,525,2,1239.4
94,20877,118,3,1973.62
95,12532,156,3,763.25
96,8712,733,3,3295.76
97,20868,224,1,3146.96
98,11479,226,3,1403.84
99,23659,743,3,4173.18
100,23013,539,3,1819.59
101,11562,137,2,4363.25
102,10102,18,1,4341.24
103,17044,307,1,1746.48
104,18712,93,3,1024.89
105,19566,632,1,1007.21
106,11566,545,3,4515.89
107,9961,158,1,4564.21
108,12293,138,2,1804.79
109,22916,325,1,1458.08
110,5290,416,1,4938.67
111,18628,395,1,3734.13
112,13304,46,2,2457.9
113,14262,228,3,723.27
114,19044,322,1,3135.99
115,19880,120,3,571.3
116,15023,211,2,814.19
117,21960,279,1,4425.8
118,19728,538,2,4972.55
119,19237,227,3,3561.1
120,12882,471,1,3965.43
121,23924,71,3,210.81
122,21949,269,2,4414.25
123,21639,623,1,1464.89
124,15573,453,3,3351.02
125,17267,111,3,3908.48
126,26424,663,3,3125.82
127,5003,76,2,252.97
128,25996,185,2,2994.89
129,11810,462,1,4292.48
130,17383,344,2,4043.68
131,19663,496,2,4588.57
132,11580,2,1,2397.86
133,13899,607,2,1372.81
134,11434,310,1,828.11
135,24329,586,3,1666.36
136,15043,594,1,2682.26
137,6534,488,2,4507.75
138,16307,150,1,1888.2
139,11368,394,1,2966.44
140,12646,392,2,1522.16
141,25211,221,1,3207.73
142,5190,597,1,2462.66
143,11748,703,3,3543.16
144,18233,519,2,1649.38
145,11681,19,2,300.37
146,8806,542,3,2967.5
147,18861,677,2,4770.38
148,14973,335,2,397.17
149,17406,447,1,626.54
150,6387,649,1,457.16
151,12273,351,3,3083.91
152,13322,222,1,2218.71
153,19675,252,3,1871.62
154,17832,637,2,2029.62
155,16046,18,2,4341.24
156,13261,442,2,2903.64
157,12807,247,2,2167.77
158,21107,234,3,2869.55
159,11952,320,1,383.49
160,6534,174,2,1783.14
161,13914,266,3,4827.71
162,9445,285,1,3134.18
163,8919,539,3,1819.59
164,25383,564,1,2304.28
165,16270,407,3,470.91
166,9754,392,2,1522.16
167,13902,56,3,3904.18
168,8870,375,3,4141.33
169,23444,100,1,1172.53
170,5697,35,3,4793.99
171,6191,196,3,2369.29
172,13499,210,3,2872.25
173,20996,529,2,4439.6
174,8148,462,2,4292.48
175,18116,13,3,4444.12
176,21087,138,3,1804.79
177,11059,743,1,4173.18
178,14914,558,3,3529.12
179,5806,366,1,2726.15
180,15654,116,2,2090.64
181,8480,728,1,3854.22
182,10373,498,1,633.01
183,19338,418,1,1257.42
184,12181,296,1,2938.2
185,23155,156,1,763.25
186,11693,691,2,3351.89
187,15394,212,2,3223.07
188,18111,762,3,3205.07
189,16173,391,3,1713.14
190,15865,258,2,2953.66
191,5107,255,3,3920.68
192,10260,31,2,902.56
193,9627,695,2,2453.9
194,14674,186,1,448.85
195,12257,507,2,2016.26
196,15063,348,1,407.01
197,22065,192,2,4498.74
198,9967,222,1,2218.71
199,13029,415,1,512.31
200,20424,742,3,4879.26
201,5175,483,2,4232.53
202,11983,640,3,643.37
203,6962,237,1,1810.16
204,16656,72,3,2946.8
205,21133,262,3,227.88
206,16452,161,3,3186.82
207,24966,132,1,1565.13
208,18033,173,1,3966.33
209,26290,59,2,257.14
210,9180,190,1,1057.4
211,19087,212,1,3223.07
212,7664,452,2,186.84
213,13631,181,1,452.2
214,16117,564,2,2304.28
215,22217,645,1,1891.25
216,11346,365,3,3053.67
217,10442,330,1,4778.66
218,19388,751,2,3664.29
219,6172,722,2,2310.79
220,24015,344,2,4043.68
221,25970,116,1,2090.64
222,23960,422,3,1748.64
223,16079,151,1,4303.51
224,12924,687,1,3553.37
225,18549,289,2,4007.9
226,5009,93,3,1024.89
227,15910,736,1,3188.23
228,18471,381,2,2188.98
229,14746,282,2,1566.04
230,12461,639,2,3780.38
231,26438,524,3,2802.3
232,6750,193,2,2836.54
233,9819,518,3,2331.41
234,8318,559,1,2206.68
235,5610,513,2,1916.85
236,19875,454,2,2219.44
237,11831,478,2,2138.91
238,6942,214,1,3183.21
239,7775,245,2,1685.81
240,14803,612,2,3515.07
241,17740,693,1,477.01
242,18532,146,3,410.47
243,23728,38,2,61.06
244,7321,50,2,4251.35
245,20939,695,3,2453.9
246,13415,306,3,4023.15
247,10988,148,1,1962.64
248,14605,252,1,1871.62
249,24341,93,3,1024.89
250,11914,172,3,1314.35
251,6695,159,1,808.6
252,24726,353,1,453.27
253,16083,50,3,4251.35
254,18897,107,2,725.23
255,14018,571,3,2849.04
256,5334,305,3,4738.26
257,7257,164,3,4512.57
258,12625,49,1,1342.16
259,14353,433,3,3246.49
260,13721,262,1,227.88
261,11801,516,3,1605.7
262,13251,204,2,2839.64
263,11465,12,3,620.12
264,15656,303,1,4233.97
265,9179,596,2,1880.05
266,17085,655,1,908.56
267,5372,350,1,1808.09
268,8891,615,3,2579.5
269,13474,90,2,2531.09
270,17022,644,2,4446.72
271,22295,542,2,2967.5
272,12741,524,2,2802.3
273,15641,291,1,1812.72
274,10142,84,1,1994.87
275,19469,492,1,416.79
276,23352,94,1,457.83
277,12077,664,3,784.54
278,9493,101,2,3914.56
279,7699,295,3,1588.29
280,22564,397,3,1163.99
281,5499,641,1,1498.63
282,11730,299,3,4564.54
283,14741,46,1,2457.9
284,15328,513,3,1916.85
285,26074,221,1,3207.73
286,15050,133,3,3241.57
287,12222,554,1,3168.81
288,20256,761,2,3426.54
289,20358,285,3,3134.18
290,17383,562,1,2994.21
291,12267,81,1,1571.53
292,21169,9,2,3927.91
293,17170,321,1,3166.78
294,7581,384,2,2063.72
295,6012,618,1,103.11
296,20405,69,1,4075.21
297,18746,409,2,2499.18
298,25723,69,1,4075.21
299,8571,502,3,2285.74
300,16955,566,3,1530.29
301,6030,629,2,4141.57
302,7691,370,1,3295.53
303,19058,205,2,4179.47
304,17738,37,3,1527.89
305,10343,19,2,300.37
306,10209,330,2,4778.66
307,5601,225,3,4634.45
308,9739,312,3,421.25
309,22446,407,3,470.91
310,5246,238,3,4314.13
311,24116,393,2,541.43
312,5080,199,3,2259.17
313,9134,338,3,3667.59
314,24763,414,3,4489.58
315,11670,124,2,190.36
316,7953,435,1,4865.43
317,26020,296,3,2938.2
318,7639,581,1,3800.34
319,16454,602,2,4156.76
320,9523,483,2,4232.53
321,18717,724,1,3280.33
322,14971,423,2,3372.08
323,8343,491,3,2375.86
324,10618,559,3,2206.68
325,24750,658,3,1975.72
326,17021,57,2,3591.6
327,13983,300,1,3941.4
328,7394,281,2,1234.76
329,13789,577,3,2854.12
330,18753,98,2,3863.08
331,14682,141,2,4605.35
332,5490,525,1,1239.4
333,13418,593,2,1886.31
334,8503,112,2,4729.79
335,7103,396,2,1532.65
336,5738,148,1,1962.64
337,14539,12,3,620.12
338,7331,734,3,3772.33
339,13090,604,1,4335.82
340,19051,762,2,3205.07
341,12590,334,3,1492.21
342,18592,70,1,2671.12
343,19314,171,3,288.18
344,22194,449,3,2231.13
345,7543,366,3,2726.15
346,12306,49,1,1342.16
347,18416,300,1,3941.4
348,21677,226,2,1403.84
349,14867,274,2,1261.52
350,24301,131,1,4822.19
351,21146,113,1,972.89
352,5635,129,1,4320.91
353,18349,251,2,795.61
354,13606,626,1,1462.56
355,25040,718,1,2857.94
356,20890,619,3,119.96
357,11819,129,1,4320.91
358,19842,445,1,3228.54
359,15971,545,3,4515.89
360,19014,24,1,2933.68
361,16885,376,3,3363.88
362,25344,199,2,2259.17
363,22298,581,1,3800.34
364,9549,47,2,1137.14
365,8048,283,3,2211.24
366,22245,579,2,4188.65
367,14736,449,2,2231.13
368,26063,403,3,3699.99
369,8036,625,2,1494.87
370,14405,103,3,4086.86
371,14274,7,1,4661.05
372,5067,15,3,1889.24
373,6925,687,3,3553.37
374,23905,619,2,119.96
375,18755,71,2,210.81
376,21189,537,2,1102.11
377,24556,288,3,1361.01
378,12428,16,1,79.27
379,16571,97,2,4899.46
380,7897,246,1,503.1
381,15614,95,3,4211.3
382,12493,353,2,453.27
383,9292,684,2,2170.84
384,23990,206,1,3903.36
385,19263,509,1,2333.78
386,21844,365,2,3053.67
387,21057,329,1,798.78
388,23060,478,1,2138.91
389,14947,685,3,4730.91
390,22236,628,1,910.0
391,15773,345,2,2829.4
392,12107,734,3,3772.33
393,12200,99,3,1312.0
394,10773,55,1,4266.3
395,26536,728,1,3854.22
396,25748,461,2,3678.53
397,10613,262,2,227.88
398,16278,60,3,2839.06
399,13845,476,1,605.77
400,16174,347,3,1108.13
401,14565,544,3,1817.81
402,17037,475,3,4207.43
403,15143,120,3,571.3
404,6890,121,1,4713.74
405,6085,411,1,4004.82
406,23128,79,1,1717.27
407,19277,679,1,561.06
408,13407,295,3,1588.29
409,18585,505,3,937.64
410,16360,178,1,54.95
411,8714,454,1,2219.44
412,8180,236,2,934.96
413,13619,284,2,3036.85
414,10668,8,1,1576.92
415,9435,57,1,3591.6
416,12486,368,2,3736.73
417,6330,605,1,2669.46
418,15627,453,1,3351.02
419,21943,502,2,2285.74
420,13003,507,2,2016.26
421,9001,83,3,3886.5
422,5150,132,3,1565.13
423,11169,459,2,4099.79
424,24695,287,3,2836.22
425,19971,84,2,1994.87
426,20976,127,1,3421.83
427,10634,478,1,2138.91
428,23502,285,2,3134.18
429,5542,752,1,1146.76
430,16765,406,2,2540.36
431,10219,104,2,771.11
432,8784,693,2,477.01
433,10049,471,1,3965.43
434,8723,261,1,267.42
435,24060,332,1,4462.01
436,17432,555,3,2878.95
437,17282,57,1,3591.6
438,12767,232,1,4576.43
439,23705,733,1,3295.76
440,9793,696,1,111.31
441,22539,322,2,3135.99
442,12633,9,3,3927.91
443,24018,102,3,120.1
444,12091,618,3,103.11
445,8968,463,1,3860.62
446,19464,32,1,3737.01
447,12682,497,1,4009.4
